LSOA code,Month,crime_count,neighbor_crime_count,crime_1m_ago,crime_3m_ago,crime_6m_ago,yearly_avg,neighbor_1m_ago,neighbor_3m_ago,neighbor_6m_ago
E01000001,2023-04-01,4,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000001,2023-05-01,8,222,4.0,0.0,0.0,0.0,246.0,0.0,0.0
E01000001,2023-06-01,6,235,8.0,0.0,0.0,0.0,222.0,0.0,0.0
E01000001,2023-07-01,4,239,6.0,4.0,0.0,0.0,235.0,246.0,0.0
E01000001,2023-08-01,2,265,4.0,8.0,0.0,0.0,239.0,222.0,0.0
E01000001,2023-09-01,6,279,2.0,6.0,0.0,0.0,265.0,235.0,0.0
E01000001,2023-10-01,3,276,6.0,4.0,4.0,0.0,279.0,239.0,246.0
E01000001,2023-11-01,6,301,3.0,2.0,8.0,0.0,276.0,265.0,222.0
E01000001,2023-12-01,1,278,6.0,6.0,6.0,0.0,301.0,279.0,235.0
E01000001,2024-01-01,4,262,1.0,3.0,4.0,0.0,278.0,276.0,239.0
E01000001,2024-02-01,3,263,4.0,6.0,2.0,0.0,262.0,301.0,265.0
E01000001,2024-03-01,5,258,3.0,1.0,6.0,0.0,263.0,278.0,279.0
E01000001,2024-04-01,1,350,5.0,4.0,3.0,4.333333333333333,258.0,262.0,276.0
E01000001,2024-05-01,1,328,1.0,3.0,6.0,4.083333333333333,350.0,263.0,301.0
E01000001,2024-06-01,3,311,1.0,5.0,1.0,3.5,328.0,258.0,278.0
E01000001,2024-07-01,8,331,3.0,1.0,4.0,3.25,311.0,350.0,262.0
E01000001,2024-08-01,6,308,8.0,1.0,3.0,3.5833333333333335,331.0,328.0,263.0
E01000001,2024-09-01,3,253,6.0,3.0,5.0,3.9166666666666665,308.0,311.0,258.0
E01000001,2024-10-01,6,359,3.0,8.0,1.0,3.6666666666666665,253.0,331.0,350.0
E01000001,2024-11-01,12,260,6.0,6.0,1.0,3.9166666666666665,359.0,308.0,328.0
E01000001,2024-12-01,5,324,12.0,3.0,3.0,4.416666666666667,260.0,253.0,311.0
E01000001,2025-01-01,2,259,5.0,6.0,8.0,4.75,324.0,359.0,331.0
E01000001,2025-02-01,2,272,2.0,12.0,6.0,4.583333333333333,259.0,260.0,308.0
E01000001,2025-03-01,3,296,2.0,5.0,3.0,4.5,272.0,324.0,253.0
E01000001,2025-04-01,6,300,3.0,2.0,6.0,4.333333333333333,296.0,259.0,359.0
E01000001,2025-05-01,5,359,6.0,2.0,12.0,4.75,300.0,272.0,260.0
E01000001,2025-06-01,6,342,5.0,3.0,5.0,5.083333333333333,359.0,296.0,324.0
E01000001,2025-07-01,1,380,6.0,6.0,2.0,5.333333333333333,342.0,300.0,259.0
E01000001,2025-08-01,4,329,1.0,5.0,2.0,4.75,380.0,359.0,272.0
E01000001,2025-09-01,4,312,4.0,6.0,3.0,4.583333333333333,329.0,342.0,296.0
E01000001,2025-10-01,2,331,4.0,1.0,6.0,4.666666666666667,312.0,380.0,300.0
E01000001,2025-11-01,5,306,2.0,4.0,5.0,4.333333333333333,331.0,329.0,359.0
E01000001,2025-12-01,6,385,5.0,4.0,6.0,3.75,306.0,312.0,342.0
E01000001,2026-01-01,8,264,6.0,2.0,1.0,3.8333333333333335,385.0,331.0,380.0
E01000001,2026-02-01,7,289,8.0,5.0,4.0,4.333333333333333,264.0,306.0,329.0
E01000001,2026-03-01,2,288,7.0,6.0,4.0,4.75,289.0,385.0,312.0
E01000002,2023-04-01,5,254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000002,2023-05-01,11,277,5.0,0.0,0.0,0.0,254.0,0.0,0.0
E01000002,2023-06-01,7,257,11.0,0.0,0.0,0.0,277.0,0.0,0.0
E01000002,2023-07-01,12,259,7.0,5.0,0.0,0.0,257.0,254.0,0.0
E01000002,2023-08-01,12,274,12.0,11.0,0.0,0.0,259.0,277.0,0.0
E01000002,2023-09-01,12,281,12.0,7.0,0.0,0.0,274.0,257.0,0.0
E01000002,2023-10-01,19,273,12.0,12.0,5.0,0.0,281.0,259.0,254.0
E01000002,2023-11-01,13,301,19.0,12.0,11.0,0.0,273.0,274.0,277.0
E01000002,2023-12-01,16,270,13.0,12.0,7.0,0.0,301.0,281.0,257.0
E01000002,2024-01-01,19,254,16.0,19.0,12.0,0.0,270.0,273.0,259.0
E01000002,2024-02-01,18,265,19.0,13.0,12.0,0.0,254.0,301.0,274.0
E01000002,2024-03-01,12,271,18.0,16.0,12.0,0.0,265.0,270.0,281.0
E01000002,2024-04-01,22,330,12.0,19.0,19.0,13.0,271.0,254.0,273.0
E01000002,2024-05-01,16,322,22.0,18.0,13.0,14.416666666666666,330.0,265.0,301.0
E01000002,2024-06-01,19,318,16.0,12.0,16.0,14.833333333333334,322.0,271.0,270.0
E01000002,2024-07-01,8,342,19.0,22.0,19.0,15.833333333333334,318.0,330.0,254.0
E01000002,2024-08-01,12,345,8.0,16.0,18.0,15.5,342.0,322.0,265.0
E01000002,2024-09-01,9,292,12.0,19.0,12.0,15.5,345.0,318.0,271.0
E01000002,2024-10-01,21,346,9.0,8.0,22.0,15.25,292.0,342.0,330.0
E01000002,2024-11-01,17,286,21.0,12.0,16.0,15.416666666666666,346.0,345.0,322.0
E01000002,2024-12-01,16,336,17.0,9.0,19.0,15.75,286.0,292.0,318.0
E01000002,2025-01-01,12,279,16.0,21.0,8.0,15.75,336.0,346.0,342.0
E01000002,2025-02-01,14,270,12.0,17.0,12.0,15.166666666666666,279.0,286.0,345.0
E01000002,2025-03-01,10,318,14.0,16.0,9.0,14.833333333333334,270.0,336.0,292.0
E01000002,2025-04-01,14,276,10.0,12.0,21.0,14.666666666666666,318.0,279.0,346.0
E01000002,2025-05-01,14,359,14.0,14.0,17.0,14.0,276.0,270.0,286.0
E01000002,2025-06-01,19,342,14.0,10.0,16.0,13.833333333333334,359.0,318.0,336.0
E01000002,2025-07-01,30,358,19.0,14.0,12.0,13.833333333333334,342.0,276.0,279.0
E01000002,2025-08-01,16,340,30.0,14.0,14.0,15.666666666666666,358.0,359.0,270.0
E01000002,2025-09-01,20,303,16.0,19.0,10.0,16.0,340.0,342.0,318.0
E01000002,2025-10-01,8,322,20.0,30.0,14.0,16.916666666666668,303.0,358.0,276.0
E01000002,2025-11-01,9,309,8.0,16.0,14.0,15.833333333333334,322.0,340.0,359.0
E01000002,2025-12-01,22,384,9.0,20.0,19.0,15.166666666666666,309.0,303.0,342.0
E01000002,2026-01-01,12,272,22.0,8.0,30.0,15.666666666666666,384.0,322.0,358.0
E01000002,2026-02-01,8,304,12.0,9.0,16.0,15.666666666666666,272.0,309.0,340.0
E01000002,2026-03-01,35,335,8.0,22.0,20.0,15.166666666666666,304.0,384.0,303.0
E01000003,2023-04-01,4,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000003,2023-05-01,1,125,4.0,0.0,0.0,0.0,76.0,0.0,0.0
E01000003,2023-06-01,9,89,1.0,0.0,0.0,0.0,125.0,0.0,0.0
E01000003,2023-07-01,7,100,9.0,4.0,0.0,0.0,89.0,76.0,0.0
E01000003,2023-08-01,9,74,7.0,1.0,0.0,0.0,100.0,125.0,0.0
E01000003,2023-09-01,10,86,9.0,9.0,0.0,0.0,74.0,89.0,0.0
E01000003,2023-10-01,6,94,10.0,7.0,4.0,0.0,86.0,100.0,76.0
E01000003,2023-11-01,3,86,6.0,9.0,1.0,0.0,94.0,74.0,125.0
E01000003,2023-12-01,6,82,3.0,10.0,9.0,0.0,86.0,86.0,89.0
E01000003,2024-01-01,4,85,6.0,6.0,7.0,0.0,82.0,94.0,100.0
E01000003,2024-02-01,2,92,4.0,3.0,9.0,0.0,85.0,86.0,74.0
E01000003,2024-03-01,3,97,2.0,6.0,10.0,0.0,92.0,82.0,86.0
E01000003,2024-04-01,7,100,3.0,4.0,6.0,5.333333333333333,97.0,85.0,94.0
E01000003,2024-05-01,7,102,7.0,2.0,3.0,5.583333333333333,100.0,92.0,86.0
E01000003,2024-06-01,7,102,7.0,3.0,6.0,6.083333333333333,102.0,97.0,82.0
E01000003,2024-07-01,2,97,7.0,7.0,4.0,5.916666666666667,102.0,100.0,85.0
E01000003,2024-08-01,2,117,2.0,7.0,2.0,5.5,97.0,102.0,92.0
E01000003,2024-09-01,2,96,2.0,7.0,3.0,4.916666666666667,117.0,102.0,97.0
E01000003,2024-10-01,2,89,2.0,2.0,7.0,4.25,96.0,97.0,100.0
E01000003,2024-11-01,6,112,2.0,2.0,7.0,3.9166666666666665,89.0,117.0,102.0
E01000003,2024-12-01,3,104,6.0,2.0,7.0,4.166666666666667,112.0,96.0,102.0
E01000003,2025-01-01,5,101,3.0,2.0,2.0,3.9166666666666665,104.0,89.0,97.0
E01000003,2025-02-01,1,86,5.0,6.0,2.0,4.0,101.0,112.0,117.0
E01000003,2025-03-01,6,121,1.0,3.0,2.0,3.9166666666666665,86.0,104.0,96.0
E01000003,2025-04-01,3,87,6.0,5.0,2.0,4.166666666666667,121.0,101.0,89.0
E01000003,2025-05-01,14,112,3.0,1.0,6.0,3.8333333333333335,87.0,86.0,112.0
E01000003,2025-06-01,10,120,14.0,6.0,3.0,4.416666666666667,112.0,121.0,104.0
E01000003,2025-07-01,5,145,10.0,3.0,5.0,4.666666666666667,120.0,87.0,101.0
E01000003,2025-08-01,2,128,5.0,14.0,1.0,4.916666666666667,145.0,112.0,86.0
E01000003,2025-09-01,3,118,2.0,10.0,6.0,4.916666666666667,128.0,120.0,121.0
E01000003,2025-10-01,3,87,3.0,5.0,3.0,5.0,118.0,145.0,87.0
E01000003,2025-11-01,4,90,3.0,2.0,14.0,5.083333333333333,87.0,128.0,112.0
E01000003,2025-12-01,4,118,4.0,3.0,10.0,4.916666666666667,90.0,118.0,120.0
E01000003,2026-01-01,9,112,4.0,3.0,5.0,5.0,118.0,87.0,145.0
E01000003,2026-02-01,6,114,9.0,4.0,2.0,5.333333333333333,112.0,90.0,128.0
E01000003,2026-03-01,4,170,6.0,4.0,3.0,5.75,114.0,118.0,118.0
E01000005,2023-04-01,25,272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000005,2023-05-01,28,233,25.0,0.0,0.0,0.0,272.0,0.0,0.0
E01000005,2023-06-01,24,261,28.0,0.0,0.0,0.0,233.0,0.0,0.0
E01000005,2023-07-01,22,255,24.0,25.0,0.0,0.0,261.0,272.0,0.0
E01000005,2023-08-01,28,295,22.0,28.0,0.0,0.0,255.0,233.0,0.0
E01000005,2023-09-01,25,294,28.0,24.0,0.0,0.0,295.0,261.0,0.0
E01000005,2023-10-01,37,313,25.0,22.0,25.0,0.0,294.0,255.0,272.0
E01000005,2023-11-01,32,325,37.0,28.0,28.0,0.0,313.0,295.0,233.0
E01000005,2023-12-01,35,296,32.0,25.0,24.0,0.0,325.0,294.0,261.0
E01000005,2024-01-01,48,284,35.0,37.0,22.0,0.0,296.0,313.0,255.0
E01000005,2024-02-01,41,287,48.0,32.0,28.0,0.0,284.0,325.0,295.0
E01000005,2024-03-01,18,271,41.0,35.0,25.0,0.0,287.0,296.0,294.0
E01000005,2024-04-01,31,316,18.0,48.0,37.0,30.25,271.0,284.0,313.0
E01000005,2024-05-01,26,333,31.0,41.0,32.0,30.75,316.0,287.0,325.0
E01000005,2024-06-01,27,316,26.0,18.0,35.0,30.583333333333332,333.0,271.0,296.0
E01000005,2024-07-01,33,357,27.0,31.0,48.0,30.833333333333332,316.0,316.0,284.0
E01000005,2024-08-01,26,346,33.0,26.0,41.0,31.75,357.0,333.0,287.0
E01000005,2024-09-01,26,289,26.0,27.0,18.0,31.583333333333332,346.0,316.0,271.0
E01000005,2024-10-01,29,404,26.0,33.0,31.0,31.666666666666668,289.0,357.0,316.0
E01000005,2024-11-01,37,288,29.0,26.0,26.0,31.0,404.0,346.0,333.0
E01000005,2024-12-01,34,341,37.0,26.0,27.0,31.416666666666668,288.0,289.0,316.0
E01000005,2025-01-01,29,290,34.0,29.0,33.0,31.333333333333332,341.0,404.0,357.0
E01000005,2025-02-01,35,275,29.0,37.0,26.0,29.75,290.0,288.0,346.0
E01000005,2025-03-01,40,299,35.0,34.0,26.0,29.25,275.0,341.0,289.0
E01000005,2025-04-01,33,293,40.0,29.0,29.0,31.083333333333332,299.0,290.0,404.0
