force_slug,police_force_name,total_predicted_crime,total_actual_crime,avg_predicted_crime,avg_actual_crime,predicted_hotspot_lsoa_months,actual_hotspot_lsoa_months,hotspot_true_positives,total_lsoa_months,unique_lsoas,avg_absolute_error,hotspot_rate,actual_hotspot_rate,force_hotspot_precision,workforce_table_name,police_officers,total_paid_workforce,officers_per_100k_population,predicted_crime_per_officer,actual_crime_per_officer,hotspots_per_100_officers,predicted_crime_per_total_workforce,lsoas_per_100_officers,crime_demand_share,hotspot_share,officer_share,workforce_share,resource_pressure_score,resource_pressure_score_workforce,resource_pressure_rank
metropolitan,Metropolitan Police Service,453126.25011669,388592.0,9.959913179837125,8.541422134300472,4241,4174,3107,45495,5055,3.6981441788567997,0.09321903505879767,0.09174634575228047,0.7326102334355105,Metropolitan Police,32332,45533,356.0,14.014791850695596,12.0188048991711,13.117035754051715,9.951601039173566,15.63466534702462,0.6161696129527705,0.6033575188504766,0.493859595527586,0.45839205895381147,0.11718517978426696,0.1526527163580415,1
leicestershire,Leicestershire Police,22646.75186848,18284.0,12.395594892435687,10.007662835249041,199,204,140,1827,203,4.4902184521160375,0.10892172961138478,0.1116584564860427,0.7035175879396985,Leicestershire,2267,3896,193.0,9.98974497947949,8.065284516982796,8.778120864578739,5.81282132147844,8.954565505072784,0.0307954799128173,0.028311281832408594,0.03462760432577748,0.03922200297990577,-0.004825803645123663,-0.009420202299251956,2
nottinghamshire,Nottinghamshire Police,22668.09138769,19476.0,13.838883631068377,11.89010989010989,219,268,167,1638,182,4.885177799706227,0.1336996336996337,0.16361416361416362,0.7625570776255708,Nottinghamshire,2380,3990,200.0,9.524408146088236,8.183193277310924,9.201680672268909,5.6812259117017545,7.647058823529412,0.030824497793129547,0.031156636790439608,0.03635363841876948,0.04016832440703902,-0.0053962850267159045,-0.009210971014985445,3
humberside,Humberside Police,19139.32356152,16803.0,12.292436455696853,10.791907514450868,225,270,181,1557,173,3.9853223557167627,0.14450867052023122,0.17341040462427745,0.8044444444444444,Humberside,2284,3662,237.0,8.379738862311733,7.356830122591944,9.851138353765323,5.226467384358274,7.574430823117338,0.026026012812196696,0.03201024327784891,0.034887273171625835,0.03686626666129747,-0.0064675681731682505,-0.008446561662839885,4
city-of-london,City of London Police,5463.6541485,3176.0,101.17878052777777,58.81481481481482,31,31,27,54,6,46.25549474537037,0.5740740740740741,0.5740740740740741,0.8709677419354839,"London, City of",999,1639,,5.469123271771772,3.179179179179179,3.1031031031031033,3.3335290716900547,0.6006006006006006,0.007429579860187058,0.004410300184948072,0.015259363353088532,0.016500221479482945,-0.00903749536299707,-0.010278353489391483,5
west-midlands,West Midlands Police,77618.7764751,71647.0,13.086962818259991,12.080087674928343,850,1068,672,5931,659,3.9618893169376763,0.14331478671387624,0.1800708143651998,0.7905882352941176,West Midlands,8027,12188,264.0,9.669711782122837,8.925750591752834,10.589261243303849,6.368458850927142,8.209791952161455,0.10554747478481692,0.1209275857163181,0.12260951915439604,0.12269963355212822,-0.010909999996978628,-0.011000114394710811,6
south-yorkshire,South Yorkshire Police,29190.98874877,26042.0,9.428613936941215,8.411498708010337,197,289,157,3096,344,3.2207689254394376,0.06363049095607236,0.09334625322997415,0.7969543147208121,South Yorkshire,3040,5312,213.0,9.602298930516447,8.566447368421052,6.480263157894736,5.495291556620859,11.31578947368421,0.039694456532602874,0.02802674633660549,0.04643489949288202,0.05347722788225345,-0.011407527038678096,-0.018449855428049527,7
west-yorkshire,West Yorkshire Police,55815.18701682,48633.0,12.708375914576502,11.073087431693988,605,711,454,4392,488,4.271236482476912,0.1377504553734062,0.16188524590163936,0.7504132231404959,West Yorkshire,6130,10499,252.0,9.1052507368385,7.933605220228385,9.869494290375204,5.316238405259548,7.960848287112561,0.07589854300470096,0.08607198748043818,0.09363353088531802,0.10569604961140418,-0.013665610090322175,-0.025728128816408333,8
merseyside,Merseyside Police,31851.09628816,27091.0,11.718578472465047,9.967255334805003,308,338,253,2718,302,4.072781295326726,0.11331861662987491,0.1243561442236939,0.8214285714285714,Merseyside,4172,6655,283.0,7.634490960728667,6.49352828379674,7.38255033557047,4.786040013247183,7.238734419942474,0.04331172088781642,0.04381846635367762,0.06372578969878413,0.06699754359118915,-0.020211370624623227,-0.02348312451702824,9
northumbria,Northumbria Police,17871.95521852,14657.0,11.032071122543211,9.047530864197531,154,165,108,1620,180,4.372119733431951,0.09506172839506173,0.10185185185185185,0.7012987012987013,Northumbria,3837,5958,254.0,4.657793906312223,3.8199113891060725,4.01355225436539,2.999656800691507,4.691164972634871,0.0243026214589617,0.02190923317683881,0.05860878597177247,0.05998067088148834,-0.03526351982565993,-0.0366354047353758,10
