resource_pressure_rank,force_slug,police_force_name,total_predicted_crime,total_actual_crime,predicted_hotspot_lsoa_months,actual_hotspot_lsoa_months,unique_lsoas,hotspot_rate,police_officers,total_paid_workforce,officers_per_100k_population,predicted_crime_per_officer,hotspots_per_100_officers,resource_pressure_score
1,metropolitan,Metropolitan Police Service,453126.25011669,388592.0,4241,4174,5055,0.09321903505879767,32332,45533,356.0,14.014791850695596,13.117035754051715,0.11718517978426696
2,leicestershire,Leicestershire Police,22646.75186848,18284.0,199,204,203,0.10892172961138478,2267,3896,193.0,9.98974497947949,8.778120864578739,-0.004825803645123663
3,nottinghamshire,Nottinghamshire Police,22668.09138769,19476.0,219,268,182,0.1336996336996337,2380,3990,200.0,9.524408146088236,9.201680672268909,-0.0053962850267159045
4,humberside,Humberside Police,19139.32356152,16803.0,225,270,173,0.14450867052023122,2284,3662,237.0,8.379738862311733,9.851138353765323,-0.0064675681731682505
5,city-of-london,City of London Police,5463.6541485,3176.0,31,31,6,0.5740740740740741,999,1639,,5.469123271771772,3.1031031031031033,-0.00903749536299707
6,west-midlands,West Midlands Police,77618.7764751,71647.0,850,1068,659,0.14331478671387624,8027,12188,264.0,9.669711782122837,10.589261243303849,-0.010909999996978628
7,south-yorkshire,South Yorkshire Police,29190.98874877,26042.0,197,289,344,0.06363049095607236,3040,5312,213.0,9.602298930516447,6.480263157894736,-0.011407527038678096
8,west-yorkshire,West Yorkshire Police,55815.18701682,48633.0,605,711,488,0.1377504553734062,6130,10499,252.0,9.1052507368385,9.869494290375204,-0.013665610090322175
9,merseyside,Merseyside Police,31851.09628816,27091.0,308,338,302,0.11331861662987491,4172,6655,283.0,7.634490960728667,7.38255033557047,-0.020211370624623227
10,northumbria,Northumbria Police,17871.95521852,14657.0,154,165,180,0.09506172839506173,3837,5958,254.0,4.657793906312223,4.01355225436539,-0.03526351982565993
